guest_id,0,1,2,3,4,5,6,7,8,9
965651,100819,50416,46823,50553,51095,45654,50114,51829,49505,166390
971014,52393,45170,45421,66925,52605,50410,102026,49565,50553,43061
981748,108573,41549,41485,40774,107219,40480,41174,42471,38538,42537
982573,41435,48463,108890,5312,41573,122485,49668,122481,109537,200792
984036,41485,40951,42471,42565,40774,40891,109539,42537,40480,108892
984205,41485,54896,109559,42471,40951,108892,42565,40774,40891,40480
989281,222272,225185,133782,45134,87236,40985,43679,51956,198277,47651
990754,160398,3907,241301,40889,89161,173019,109901,46466,109562,114990
998609,49598,45645,51095,96910,51818,46848,46862,47313,47344,42513
999010,41173,41027,48186,172435,41032,134459,128656,48584,51264,5196
1009636,43005,50553,40257,41022,45879,51138,52134,40763,43148,45654
1014290,45174,40163,41385,41457,45418,45172,45163,50410,98400,41110
1017018,40061,43137,43132,43129,43131,43139,104228,106385,106383,51658
1020846,110408,102650,95958,100104,93858,52179,48855,55410,48121,48852
1023378,3921,41552,48321,241484,602,160398,51362,209073,59375,41858
1025780,100871,45521,160241,110407,111419,102867,46059,204557,54219,49243
1027467,43993,42513,47313,49598,47344,49633,46848,96910,45645,46862
1028712,45421,52134,50553,52605,52393,124962,44611,166390,49371,100819
1035777,19392,225185,222272,206118,96571,106533,222037,96236,54896,43679
1038562,222271,41858,108573,41743,115823,100810,42595,42546,40945,96405
1041112,42596,42471,42537,45645,41746,40518,46848,46501,109559,197968
1041571,86150,87982,106981,214251,40663,41552,83965,158652,50654,3907
1044854,113854,40961,112710,51139,41456,40061,41254,156870,104122,117120
1046056,222271,222272,41213,41295,46524,42566,42620,80500,41274,42596
1046735,107219,220101,53962,222271,98631,105396,115215,98880,41173,73012
1052925,34237,42546,100810,231019,97958,5412,196468,100987,2534,108038
1054115,46059,51362,41489,42563,109559,47804,79709,83965,87980,141620
1055031,41435,42820,100058,50898,5084,48587,50743,106383,47252,48082
1061850,41485,97465,40951,46061,109559,42471,40891,40774,108573,40480
